id,target_workhours_2019,target_earnings_2019,target_unemp_2019,target_working_2019,target_tafw_2019,target_lf_2019,target_informal_2019,target_underemp_2019,cat_sector_1_2019,cat_sector_2_2019,cat_sector_3_2019,cat_sector_4_2019,cat_sector_5_2019,cat_sector_6_2019,cat_sector_7_2019,cat_sector_8_2019,cat_sector_9_2019,cat_sector_10_2019,cat_sector_11_2019,cat_sector_12_2019,cat_sector_13_2019,cat_sector_14_2019,cat_sector_15_2019,cat_sector_16_2019,cat_sector_17_2019,target_jobstatus_1_2019,target_jobstatus_2_2019,target_jobstatus_3_2019,target_jobstatus_4_2019,target_jobstatus_5_2019,target_jobstatus_6_2019,target_jobstatus_7_2019,target_womenwork_2019,target_youthwork_2019,kelurahan,kecamatan,kab,join,cat_sector_1_2020,cat_sector_2_2020,cat_sector_3_2020,cat_sector_4_2020,cat_sector_5_2020,cat_sector_6_2020,cat_sector_7_2020,cat_sector_8_2020,cat_sector_9_2020,cat_sector_10_2020,cat_sector_11_2020,cat_sector_12_2020,cat_sector_13_2020,cat_sector_14_2020,cat_sector_15_2020,cat_sector_16_2020,cat_sector_17_2020,target_jobstatus_1_2020,target_jobstatus_2_2020,target_jobstatus_3_2020,target_jobstatus_4_2020,target_jobstatus_5_2020,target_jobstatus_6_2020,target_jobstatus_7_2020,target_workhours_2020,target_earnings_2020,target_wfh_2020,target_internet_2020,target_prakerja_2020,target_earnings_decr_2020,target_workhours_decr_2020,target_workhours_decr_covid_2020,target_unemp_2020,target_working_2020,target_tafw_2020,target_lf_2020,target_informal_2020,target_underemp_2020,target_tafw_cov_2020,target_womenwork_2020,target_youthwork_2020,target_earnings,earnings_wi1,earnings_wi2,target_workhours_diff,target_unemp_diff,target_working_diff,target_tafw_diff,target_lf_diff,target_informal_diff,target_underemp_diff,target_womenwork_diff,target_youthwork_diff,target_jobstatus_1_diff,target_jobstatus_2_diff,target_jobstatus_3_diff,target_jobstatus_4_diff,target_jobstatus_5_diff,target_jobstatus_6_diff,target_jobstatus_7_diff,target_earndiffpc,target_earndiffwi1,target_earndiffwi2
102,31.415386,413977.13,3.5115738,93.545395,2.9430311,79.556335,71.40303,5.4393649,63.244091,.3410469,8.9994345,.071330868,.11812165,4.4216914,8.1958065,1.3971421,4.4139991,.31098056,.36561358,.01383556,.70528466,1.4092201,1.3939049,.64230573,3.9561901,19.297878,37.576054,1.9415593,24.409006,11.916767,4.2185411,.64019507,45.478966,17.140669,GIRISUKO,PANGGANG,gunungkidul,GIRISUKO_PANGGANG,61.782825,.49880686,9.5821953,.059655081,.12929845,4.4657559,9.5006943,1.1330951,3.6122348,.41547492,.27877086,.038088199,.59945571,1.4262244,1.1779528,.71214384,4.5873294,17.967527,37.338192,1.6881456,25.100416,11.856651,5.2864566,.76261401,30.977442,722307.38,.022937959,.24311818,.73182398,.36262,.18770048,.36804837,3.6370826,93.233086,3.129832,79.10347,70.833557,10.189698,.18473841,45.263607,18.165764,413977.13,400424.44,328933,-.43794441,.12550879,-.31230927,.18680096,-.4528656,-.56947327,4.7503333,-.21535873,1.025095,-1.3303509,-.23786163,-.25341368,.69141006,-.060115814,1.0679154,.12241894,74.480019,-3.273777,-20.543194
103,30.384245,375214.53,2.1670582,95.057991,2.7749557,87.731384,73.660202,7.2393084,74.786812,.21125107,6.3913651,.044733047,.078622393,3.4415379,5.0139709,.79711789,2.9055922,.24289973,.28550002,.0086496454,.49890816,.84352738,1.0663223,.43240154,2.9507887,16.858768,38.148613,1.3473394,22.842155,16.569941,3.378288,.85489583,47.029011,18.821199,GIRITIRTO,PURWOSARI,gunungkidul,GIRITIRTO_PURWOSARI,74.802864,.27945712,6.3470469,.034986813,.069938041,3.2970042,5.9097052,.66677696,2.179939,.31624621,.18974809,.024246002,.42343751,.85448486,.86578465,.44107786,3.2972553,16.201357,38.231468,1.0909432,22.976782,16.701294,4.0083127,.78984469,29.793571,678847.5,.016418356,.22158043,.74277884,.3275831,.16796701,.29358575,2.0121057,94.990395,2.9974964,86.849319,73.609474,13.548739,.13884825,46.98801,19.723993,375214.53,363235.47,328035.47,-.59067345,-.15495253,-.067596436,.22254062,-.88206482,-.050727844,6.3094311,-.041000366,.90279388,-.65741158,.082855225,-.25639617,.13462639,.13135338,.63002467,-.065051138,80.922501,-3.1925902,-12.57389
104,29.930767,340251.25,1.5536531,95.590851,2.8554943,86.635933,75.615303,7.0067396,75.772522,.1962449,6.1642733,.044779107,.072885372,2.8189354,5.0969014,.85170728,2.9019911,.20469658,.24956299,.0080713276,.45713544,1.1468877,.91420937,.40631765,2.6928761,18.518185,40.110119,1.5797598,20.546148,15.362151,2.7807453,1.1028928,46.917095,16.913092,GIRIWUNGU,PANGGANG,gunungkidul,GIRIWUNGU_PANGGANG,74.630577,.27754742,6.484323,.032308493,.071179293,2.8736093,6.206903,.66272515,2.3965814,.29798302,.19407393,.021914434,.39728516,1.0356613,.86740947,.49721083,3.052711,17.848982,39.817856,1.2877709,21.458656,14.920796,3.5629463,1.1029927,29.54562,657357.38,.017456859,.22047824,.7523095,.3360332,.17007612,.3125692,1.6591364,95.266853,3.0740082,86.301826,74.83873,12.924242,.14518665,47.099651,17.429893,340251.25,330452.66,291738.13,-.38514709,.10548329,-.3239975,.21851397,-.33410645,-.77657318,5.9175024,.18255615,.51680183,-.6692028,-.29226303,-.29198897,.91250801,-.44135475,.78220105,.000099897385,93.197639,-2.8798113,-14.25803
105,39.891655,1485334,7.0773878,89.953346,2.9692662,61.178841,35.566418,1.98365,.72312337,1.1209605,17.814987,.32062903,.37303814,11.443631,19.457657,3.9909596,9.7013445,1.0816371,2.0845342,.078312419,2.6927559,8.6757574,9.4911127,3.0752933,7.8742661,16.825974,9.389554,4.0412722,59.2183,.13005249,9.7987976,.59604865,40.82547,20.112185,GIWANGAN,UMBULHARJO,kotajogja,GIWANGAN_UMBULHARJO,.71959072,1.5104115,18.876137,.1883885,.39648572,10.169244,21.326651,3.2391913,7.2461157,1.5008645,1.7885569,.18825226,1.8401064,9.0136223,9.2499409,3.0019436,9.7444992,16.597338,10.590819,3.5132864,56.866203,.12953269,11.767541,.53527898,37.131695,1771796.3,.12228712,.54217362,.78423119,.4070124,.28120971,.68813032,7.1497469,89.378021,3.4722283,61.202927,38.138859,4.0558138,.42610699,43.728725,21.224642,1485334,1460430.3,930242.88,-2.7599602,.072359085,-.57532501,.50296211,.024085999,2.5724411,2.0721638,2.9032555,1.1124573,-.22863579,1.2012653,-.52798581,-2.3520966,-.00051979721,1.9687433,-.060769677,19.286049,-1.6766431,-37.371468
107,31.809252,432241.47,4.234549,92.991898,2.7735541,78.156738,71.28289,6.0478954,65.047829,.3028214,8.446785,.072954528,.10781458,3.7605069,8.2397823,1.5347157,4.1725864,.34053361,.41850227,.013575991,.79670316,1.2461932,1.6010844,.58877361,3.3088372,18.836161,36.272484,2.0984595,24.492582,14.020088,3.3694882,.91073501,43.716141,17.291393,GLAGAHHARJO,CANGKRINGAN,sleman,GLAGAHHARJO_CANGKRINGAN,63.628006,.39912179,8.8828087,.054624446,.10683416,3.7568488,9.5299873,1.287783,3.5006895,.47106761,.32576811,.03937779,.6103493,1.2673256,1.3483107,.63942772,4.1516714,17.921484,35.845306,1.6905977,25.342503,13.796843,4.4813867,.92188084,31.28554,768127.56,.02392914,.27158242,.72093636,.36758685,.18455747,.36728999,4.3130388,92.687683,2.9992752,76.834076,70.679779,10.703633,.1939761,44.207306,18.721024,432241.47,420077.94,366206.19,-.52371216,.07848978,-.30421448,.22572112,-1.3226624,-.60311127,4.6557379,.49116516,1.4296303,-.91467667,-.42717743,-.40786183,.84992027,-.22324562,1.1118984,.01114583,77.707977,-2.8140593,-15.277406
106,33.211597,577412.56,5.604342,91.158455,3.2372012,77.814102,69.205627,5.0084867,50.647099,.36976337,10.28282,.10357553,.11068673,2.6656361,12.506223,2.5825896,5.7235255,.46252751,.52328885,.034782656,1.2531844,5.8039007,2.30669,1.0427436,3.5809622,24.788811,34.193726,4.0111437,24.325607,9.5745029,2.1511958,.95501554,42.783646,16.933403,GLAGAH,TEMON,kulonprogo,GLAGAH_TEMON,49.371216,.40929216,11.232422,.061346345,.12508634,2.6318667,13.991444,1.8851072,5.1157403,.59257954,.5006519,.063428678,.80839825,5.8253307,2.1700115,1.1231869,4.0928941,24.03373,34.867691,3.4919367,24.723278,9.0671558,2.8264892,.9897204,32.714714,940915.5,.048428297,.36437181,.72024572,.40102896,.21360722,.45448256,6.0571508,90.667595,3.2752573,76.820496,69.282059,8.5562296,.25469744,43.787628,18.264339,577412.56,568446,439756.5,-.49688339,.45280886,-.49085999,.038056135,-.99360657,.076431274,3.5477428,1.0039825,1.3309364,-.75508118,.67396545,-.519207,.39767075,-.50734711,.67529345,.034704864,62.953762,-1.5528866,-23.840157
108,32.922901,485220.63,4.0157547,93.342125,2.6421218,80.146614,65.86898,5.7688489,56.807655,.46018055,10.845194,.1073906,.17379767,7.4508629,8.358717,1.4529711,5.1101046,.29500097,.35380307,.01367503,.78581655,.43146503,1.3672799,.46642885,5.5196595,15.317069,32.542343,1.4499935,30.816551,11.858748,7.0968494,.91844487,43.724434,18.507643,GOMBANG,PONJONG,gunungkidul,GOMBANG_PONJONG,55.847382,.72430444,11.15815,.059214823,.16586773,7.1765041,9.9664373,1.2136647,3.858387,.41992497,.22969094,.052304707,.70202535,.4869284,1.0468528,.49930024,6.3930616,14.313137,32.087307,1.1852803,30.948807,11.926012,8.5113468,1.028113,31.953154,785550.56,.017795797,.24514376,.71013373,.36796594,.19925822,.40140504,4.3963804,92.576767,3.0268526,78.901146,65.717247,10.4882,.2143531,44.291866,19.329056,485220.63,465262.75,390980.25,-.96974754,.38062572,-.76535797,.38473082,-1.2454681,-.1517334,4.7193513,.5674324,.82141304,-1.003932,-.45503616,-.26471317,.13225555,.067263603,1.4144974,.10966814,61.895542,-4.1131549,-19.422171
109,32.851883,588447.19,11.728102,85.649162,2.6227372,74.572121,65.138382,4.8007197,54.028477,.40890527,10.183895,.096575789,.14202933,4.845346,10.388135,1.9934167,5.1867542,.48112288,.64105499,.020662226,1.1252609,2.9424014,2.6072767,.86169642,4.0469885,18.651306,33.403061,2.3506954,30.516264,9.9782047,4.2129445,.88752156,41.95108,16.034826,GOTAKAN,PANJATAN,kulonprogo,GOTAKAN_PANJATAN,51.596249,.55976456,11.099274,.078145929,.1707684,4.8590546,12.087538,1.8143895,4.3019953,.70797384,.54965043,.068154335,.86083215,2.5914385,2.5239348,.95911902,5.1717153,17.63382,32.671867,2.1007502,31.918934,9.2375908,5.6105328,.82650453,32.06171,899113.5,.038588449,.32338038,.73852324,.39017969,.21029256,.44530618,10.544366,86.380821,3.0748141,74.083336,63.712406,8.2103863,.24335301,43.277279,17.900551,588447.19,572311.94,443341.19,-.79017258,-1.1837358,.73165894,.45207691,-.48878479,-1.4259758,3.4096665,1.3261986,1.8657246,-1.0174866,-.73119354,-.24994516,1.4026699,-.74061394,1.3975883,-.061017036,52.794254,-2.7420049,-24.659138
110,39.874958,1364611.9,4.6815176,92.358017,2.9604671,58.338482,37.216278,1.8864702,.31231716,1.1119133,19.047974,.28814292,.37831196,11.058277,21.441231,4.6306581,10.338398,1.1338418,2.1396558,.084260739,2.9472442,4.0908632,10.052017,3.1560287,7.788866,18.196001,10.047584,4.5651784,57.0256,.046851799,9.034688,1.0840958,40.086246,19.814508,GOWONGAN,JETIS,kotajogja,GOWONGAN_JETIS,.25017577,1.4956595,20.145243,.22106503,.42700583,10.113354,22.780437,3.728652,7.8466058,1.5997946,1.9813037,.22629827,2.030539,4.2594185,10.258176,3.2527764,9.3834972,17.817284,11.176125,4.0128331,55.141861,.03773579,10.721781,1.0923852,37.311214,1706206.6,.11657925,.54609334,.75377297,.42878851,.29846558,.70503646,5.1644053,91.193077,3.642518,58.644478,39.276493,3.7689767,.48368445,42.920704,20.194458,1364611.9,1338817.6,774415.69,-2.5637436,.48288774,-1.1649399,.68205094,.30599594,2.060215,1.8825065,2.8344574,.37994957,-.37871742,1.128541,-.55234528,-1.8837395,-.0091160089,1.6870928,.0082893372,25.032373,-1.8902261,-43.250114
111,32.5285,638184,4.3757496,92.565453,3.0587981,74.741623,62.931778,4.272541,51.661446,.44415832,10.425295,.090540797,.14846565,5.4124503,10.141219,1.7583045,5.2864285,.48515061,.77011472,.024567999,1.1132214,3.2701199,3.234911,1.2400798,4.4935303,18.02845,32.525257,2.0759594,32.912704,8.1811171,4.8947172,1.3817954,44.677299,15.07075,GROGOL,PALIYAN,gunungkidul,GROGOL_PALIYAN,50.562458,.59123772,11.11691,.080051318,.1698581,5.1247215,11.30771,1.5705464,4.1550035,.67236489,.623873,.070190176,.81711525,3.5131884,3.0339012,1.331781,5.2590914,17.257299,32.693726,2.0039935,32.795914,7.9104228,5.9778461,1.3608013,31.656799,911620.75,.047129691,.31131271,.75493187,.3770155,.21002649,.4296568,4.1242371,92.463303,3.4124613,73.60524,62.879456,7.8512325,.23733839,45.073418,15.857473,638184,620597.19,463301.22,-.87170029,-.25151253,-.10214996,.35366321,-1.1363831,-.052322388,3.5786915,.39611816,.78672314,-.77115059,.16846848,-.071965933,-.11679077,-.27069426,1.0831289,-.020994067,42.846069,-2.755759,-27.403191
112,35.248291,330888.19,2.4326968,93.834091,3.7332156,83.87693,73.34343,4.1491814,32.878063,.75592172,17.130943,.14673896,.18900751,4.1241922,20.516766,3.9105437,9.2898865,.35700706,.3026301,.025909854,1.2354788,1.3772728,1.4505596,.64767295,5.6614084,33.381268,32.408859,5.0824189,18.656168,6.4496002,3.5541768,.46750927,46.087868,16.682146,GULUREJO,LENDAH,kulonprogo,GULUREJO_LENDAH,30.811743,.76084995,19.38225,.066888958,.20475923,4.4212217,21.791658,2.8565316,8.3636026,.47336918,.31086043,.048112199,.97212845,1.394725,1.1801666,.67713016,6.2840042,31.546534,33.745846,4.5261011,18.687157,6.3070879,4.7104611,.4768149,35.390301,765858.81,.030527696,.33876657,.670636,.4896757,.25522578,.52700621,2.5028183,93.885193,3.6119885,83.148521,73.942017,8.2185173,.26811993,46.812748,17.71541,330888.19,320514.63,267257.41,.14200974,.070121527,.051101685,-.12122703,-.72840881,.59858704,4.0693359,.72488022,1.0332642,-1.834734,1.3369865,-.55631781,.030988693,-.14251232,1.1562843,.0093056262,131.45547,-3.1350658,-19.230297
